Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,10.256,-92.1,-4.2005,0,0,0,1000,166.67,9.2519E-16,4.4409E-13,166.67,1.5777E-30,166.67,0,0,0,0,0,0,package://pvc/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://pvc/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
main_link,-19.3630057590991,5.90480374452152,47.0529907034405,0,0,0,3442807.25349707,1157032985.3595,1659233.67130949,1000244.29349725,1279028266.00987,1985274.54687831,221161978.183764,0,0,0,0,0,0,package://pvc/meshes/main_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pvc/meshes/main_link.STL,,main_building-1,Origin_main_link,,main_link,fixed,20.042,-14.504,-1.7998,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
large_window_1,12.1782120496746,4.75178396310253,15.1892410748826,0,0,0,126489.683919039,2120463.32696713,-70277.8488771684,795610.055889251,2798844.63863607,90440.015543835,1321252.76935295,0,0,0,0,0,0,package://pvc/meshes/large_window_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pvc/meshes/large_window_1.STL,,main_building-1/large_window_1-1,Origin_large_window_1,Axis_large_window_1,large_window_1,fixed,-39.2425769434349,1.34756855883034,5.37955556265205,0,0,0,main_link,0,0,0,,,,,,,,,,,,
frame_1,2.35219887985317,2.5,3.60219887985318,0,0,0,67971.7888178389,1434862.22620417,-58231.8724736295,536137.570921857,1854288.58599855,74299.8724736293,949553.339583414,0,0,0,0,0,0,package://pvc/meshes/frame_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pvc/meshes/frame_1.STL,,main_building-1/large_window_1-1/large_window_1_frame-1,Origin_frame_1,Axis_frame_1,frame_1,fixed,9.95586404215977,2.25178396310253,11.7168930673677,0,0,0,large_window_1,0,0,0,,,,,,,,,,,,
glass_1,2.0715189994459,2.5,3.3215189994459,0,0,0,58517.8951012005,685601.100762963,-12045.976403539,259472.484967393,944556.052637522,16140.1430702057,371699.429769539,0,0,0,0,0,0,package://pvc/meshes/glass_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pvc/meshes/glass_1.STL,,main_building-1/large_window_1-1/large_window_1_glass-1,Origin_glass_1,Axis_glass_1,glass_1,fixed,9.95586404215977,2.25178396310253,11.7168930673677,0,0,0,large_window_1,0,0,0,,,,,,,,,,,,
large_window_2,-5.89494104181004,3.72865072509259,9.17644210199591,0,0,0,110789.683919039,1212868.31732363,-70277.8488771678,554707.878006564,1863513.84362992,70277.8488771679,1212868.31732363,0,0,0,0,0,0,package://pvc/meshes/large_window_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pvc/meshes/large_window_2.STL,,main_building-1/large_window_2-1,Origin_large_window_2,Axis_large_window_2,large_window_2,fixed,-35.9707379544919,2.3707017968403,68.7090905394307,0,1.5707963267949,0,main_link,0,0,0,,,,,,,,,,,,
frame_2,2.61903045171209,2.5,2.6190304517121,0,0,0,60771.7888178388,874625.165139445,-58231.8724736288,385628.262069382,1283395.35048986,58231.8724736288,874625.165139447,0,0,0,0,0,0,package://pvc/meshes/frame_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pvc/meshes/frame_2.STL,,main_building-1/large_window_2-1/large_window_2_frame-1,Origin_frame_2,Axis_frame_2,frame_2,fixed,-8.38735809058912,1.22865072509259,6.68402505321685,0,0,0,large_window_2,0,0,0,,,,,,,,,,,,
glass_2,2.33858164708957,2.49999999999999,2.33858164708958,0,0,0,50017.8951012006,338243.152184186,-12045.9764035389,169079.615937182,580118.493140059,12045.9764035391,338243.152184186,0,0,0,0,0,0,package://pvc/meshes/glass_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pvc/meshes/glass_2.STL,,main_building-1/large_window_2-1/large_window_2_glass-1,Origin_glass_2,Axis_glass_2,glass_2,fixed,-8.38735809058912,1.22865072509259,6.68402505321685,0,0,0,large_window_2,0,0,0,,,,,,,,,,,,
large_window_3,-0.503475338180358,0.629579866719466,8.88035172071675,0,0,0,40668.2320318051,69141.975776826,-29601.7548732141,-9.65211802380359E-12,222737.78221881,-8.33840920977816E-12,274460.404416952,0,0,0,0,0,0,package://pvc/meshes/large_window_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pvc/meshes/large_window_3.STL,,main_building-1/large_window_3-1,Origin_large_window_3,Axis_large_window_3,large_window_3,fixed,-18.3867129012751,5.75637759065263,49.2393187761148,0,1.5707963267949,0,main_link,0,0,0,,,,,,,,,,,,
frame_3,-6.25930575287884,9.23594842135284,0.0999999999999996,0,0,0,28503.5220715615,62398.2837521416,-26736.7717758821,-1.02057866576654E-11,192788.167864526,-9.4244154003967E-12,239794.549698025,0,0,0,0,0,0,package://pvc/meshes/frame_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pvc/meshes/frame_3.STL,,main_building-1/large_window_3-1/large_window_3_frame-1,Origin_frame_3,Axis_frame_3,frame_3,fixed,5.64287014609501,-8.65702506871975,8.9,0,0,0,large_window_3,0,0,0,,,,,,,,,,,,
glass_3,-5.88166465588971,9.40529983832208,0.5,0,0,0,12164.7099602436,6743.6920246844,-2864.98309733204,5.53668633861799E-13,29949.6143542831,1.087657379027E-12,34665.8547189269,0,0,0,0,0,0,package://pvc/meshes/glass_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://pvc/meshes/glass_3.STL,,main_building-1/large_window_3-1/large_window_3_glass-1,Origin_glass_3,Axis_glass_3,glass_3,fixed,5.64287014609501,-8.65702506871975,8.1,0,0,0,large_window_3,0,0,0,,,,,,,,,,,,
